model_id,provider,pricing_class,context_length,vision,tool_calling,reasoning
google/lyria-3-pro-preview,google,FREE,1048576,True,False,False
google/lyria-3-clip-preview,google,FREE,1048576,True,False,False
qwen/qwen3-coder:free,qwen,FREE,1048576,False,True,False
nvidia/nemotron-3-ultra-550b-a55b:free,nvidia,FREE,1000000,False,True,True
nvidia/nemotron-3-super-120b-a12b:free,nvidia,FREE,1000000,False,True,True
tencent/hy3:free,tencent,FREE,262144,False,True,True
poolside/laguna-xs-2.1:free,poolside,FREE,262144,False,True,True
poolside/laguna-m.1:free,poolside,FREE,262144,False,True,True
google/gemma-4-26b-a4b-it:free,google,FREE,262144,True,True,True
google/gemma-4-31b-it:free,google,FREE,262144,True,True,True
qwen/qwen3-next-80b-a3b-instruct:free,qwen,FREE,262144,False,True,False
cohere/north-mini-code:free,cohere,FREE,256000,False,True,True
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,nvidia,FREE,256000,True,True,True
nvidia/nemotron-3-nano-30b-a3b:free,nvidia,FREE,256000,False,True,True
openrouter/free,openrouter,FREE,200000,True,True,True
openai/gpt-oss-20b:free,openai,FREE,131072,False,True,True
meta-llama/llama-3.3-70b-instruct:free,meta-llama,FREE,131072,False,True,False
meta-llama/llama-3.2-3b-instruct:free,meta-llama,FREE,131072,False,False,False
nousresearch/hermes-3-llama-3.1-405b:free,nousresearch,FREE,131072,False,False,False
nvidia/nemotron-3.5-content-safety:free,nvidia,FREE,128000,True,False,True
nvidia/nemotron-nano-12b-v2-vl:free,nvidia,FREE,128000,True,True,True
nvidia/nemotron-nano-9b-v2:free,nvidia,FREE,128000,False,True,True
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,cognitivecomputations,FREE,32768,False,False,False
